dc_id,name,provider,state,latitude,longitude,operator_class,is_hyperscaler_self,is_colocation_major,is_colocation_secondary,est_mw,wet_bulb_c,climate_adj,est_liters_per_day,v1_predicted_wue,bws_score,bws_category
DC-00094,Centersquare: TPA1 Tampa Data Center Campus,Centersquare,FL,27.94553095,-82.35110076559798,colocation_major,False,True,False,9.6,19.61972602739726,1.1385917808219177,231376.4238378082,0.99239194,2.559,Medium-High
DC-00095,Equinix: AT4 Atlanta Data Center,Equinix,GA,33.89547465,-84.45351661008468,colocation_major,False,True,False,12.0,13.374246575342466,1.0,254016.0,1.1034696,1.889,Low-Medium
DC-00096,Flexential: Dallas - Richardson Data Center,Flexential,TX,32.9948016,-96.75251420979546,colocation_major,False,True,False,3.75,14.986027397260273,1.0,79379.99999999999,0.9444843,2.681,Medium-High
DC-00097,US Signal: Grand Rapids East Data Center,US Signal,MI,42.87535466627512,-85.562772435341,colocation_secondary,False,False,True,10.0,7.224931506849315,1.0,211680.0,0.50526863,0.327,Low
DC-00098,365 Data Centers: TX1 Richardson Data Center,365 Data Centers,TX,32.97515717346939,-96.70764578571428,colocation_major,False,True,False,6.2,14.986027397260273,1.0,131241.6,0.9444843,2.681,Medium-High
DC-00099,Equinix: DC10 Ashburn Data Center,Equinix,VA,39.02101975,-77.45151658024605,colocation_major,False,True,False,20.0,10.42958904109589,1.0,423360.0,0.6194914,1.94,Low-Medium
DC-00100,QTS Data Centers: Hillsboro 1 Data Center,QTS Data Centers,OR,45.55686749747459,-122.93266432306564,colocation_major,False,True,False,24.0,8.515616438356165,1.0,508032.0,0.58591545,1.569,Low-Medium
DC-00101,Amazon AWS: ALE061,Amazon AWS,TX,29.30146948036068,-98.3912200783111,hyperscaler_self,True,False,False,50.0,17.62876712328767,1.07886301369863,1141868.61369863,1.0071161,2.681,Medium-High
DC-00102,Flexential: Minneapolis - Chaska Data Center,Flexential,MN,44.85159645,-93.59884547259333,colocation_major,False,True,False,9.0,5.993424657534247,1.0,190512.0,0.49594098,1.669,Low-Medium
DC-00103,QTS Data Centers: Overland Park - Kansas City Data Center,QTS Data Centers,KS,38.89667671449,-94.67346118154192,colocation_major,False,True,False,0.18,10.336438356164384,1.0,3810.24,0.59403765,2.139,Medium-High
DC-00104,TierPoint: New York - HWT Hawthorne Data Center,TierPoint,NY,41.0883218,-73.81546461666011,colocation_major,False,True,False,20.0,9.140273972602738,1.0,423360.0,0.5158759,0.834,Low
DC-00105,Centersquare: Boston (BO1-Watertown) Data Center,Centersquare,MA,42.3664226,-71.15924884142905,colocation_major,False,True,False,15.0,8.506849315068493,1.0,317519.99999999994,0.41313794,2.012,Medium-High
DC-00106,Rackspace: NYC1 New York Metro Data Center,Rackspace,NJ,40.53972182102959,-74.53855536216703,colocation_major,False,True,False,1.2,9.684109589041096,1.0,25401.6,0.5158759,2.797,Medium-High
DC-00107,CoreSite: NY2 New Jersey Secaucus Data Center,CoreSite,NJ,40.785939,-74.0677,colocation_major,False,True,False,20.0,9.734246575342466,1.0,423360.0,0.5158759,2.797,Medium-High
DC-00108,Stack Infrastructure: SVY01 - Silicon Valley Data Center,Stack Infrastructure,CA,37.4023956,-121.8929143,unknown,False,False,False,9.0,11.20082191780822,1.0,190512.0,0.8536765,3.724,High
DC-00109,LightEdge: Austin II Data Center,LightEdge,TX,30.200528,-97.7066468,colocation_secondary,False,False,True,2.5,16.902465753424657,1.0570739726027396,55940.35463013698,0.97105974,2.681,Medium-High
DC-00110,H5 Data Centers: Cleveland Data Center,H5 Data Centers,OH,41.50632687671233,-81.683262,colocation_major,False,True,False,10.0,8.870136986301368,1.0,211680.0,0.568177,1.279,Low-Medium
DC-00111,Prime Data Centers: Prime Dallas - 1515 Round Table,Prime Data Centers,TX,32.83790805,-96.87839317269456,colocation_secondary,False,False,True,6.0,15.280273972602735,1.008408219178082,128075.91110136984,0.9444843,2.681,Medium-High
DC-00112,DataVerge: Brooklyn Data Center,DataVerge,NY,40.6579597,-74.00554875865322,colocation_major,False,True,False,140.0,9.96027397260274,1.0,2963520.0,0.5158759,0.834,Low
DC-00113,Centersquare: Seattle (SE1-Lynnwood) Data Center,Centersquare,WA,47.8417363,-122.30171420535154,colocation_major,False,True,False,20.0,8.246575342465754,1.0,423360.0,0.6584038,0.903,Low
DC-00114,Equinix: DC1 Ashburn Data Center,Equinix,VA,39.015528450000005,-77.46034102573952,colocation_major,False,True,False,2.4,10.42958904109589,1.0,50803.2,0.5798735,1.94,Low-Medium
DC-00115,Equinix: DA7 Plano Data Center,Equinix,TX,33.062825797055936,-96.80951843575788,colocation_major,False,True,False,20.0,15.00027397260274,1.000008219178082,423363.4796712328,0.9444843,2.681,Medium-High
DC-00116,Digital Realty: New York EWR10 Data Center,Digital Realty,NJ,40.7615218,-74.02602712192159,colocation_major,False,True,False,14.0,9.82876712328767,1.0,296351.99999999994,0.5158759,2.797,Medium-High
DC-00117,FIBERTOWN: Bryan Data Center,FIBERTOWN,TX,30.673932428571423,-96.37343079591837,colocation_secondary,False,False,True,3.0,16.91260273972603,1.0573780821917809,67147.73773150684,0.9045634,2.681,Medium-High
DC-00118,CyrusOne: PHX1-PHX8 Phoenix Data Center,CyrusOne,AZ,33.2663856,-111.8820047924907,colocation_major,False,True,False,81.0,12.122191780821918,1.0,1714608.0,1.1201614,3.487,High
DC-00119,QTS Data Centers: Fort Worth - Dallas Data Center,QTS Data Centers,TX,32.981432,-97.262693,colocation_major,False,True,False,50.0,14.76054794520548,1.0,1058400.0,0.9444843,2.681,Medium-High
DC-00120,SBA Edge: Chicago Data Center,SBA Edge,IL,41.875931,-88.2489668938641,colocation_secondary,False,False,True,4.0,7.768219178082191,1.0,84672.0,0.53570706,0.75,Low
DC-00121,Centersquare: BOS1 Waltham Data Center Campus,Centersquare,MA,42.39709206701546,-71.26718514277727,colocation_major,False,True,False,16.0,8.356712328767124,1.0,338688.0,0.41313794,2.012,Medium-High
DC-00122,Equinix: MI6 Doral Data Center,Equinix,FL,25.78767745,-80.35468179280353,colocation_major,False,True,False,20.0,21.46246575342466,1.19387397260274,505438.4850410961,0.8384825,2.559,Medium-High
DC-00123,DataBank: ORD4 Chicago Tri-State Data Center,DataBank,IL,41.85429574427845,-87.92214194110039,colocation_major,False,True,False,8.75,7.887671232876713,1.0,185220.0,0.53570706,0.75,Low
DC-00124,Lumen: Houston 1 Data Center,Lumen,TX,29.8971063,-95.41238505,colocation_secondary,False,False,True,10.0,18.16328767123288,1.0948986301369863,231768.1420273973,0.9175664,2.681,Medium-High
DC-00125,COPT Data Center: DC-6 Manassas Data Center,COPT Data Center,VA,38.74728305,-77.53182644813808,colocation_major,False,True,False,16.0,10.714794520547944,1.0,338688.0,0.56655085,1.94,Low-Medium
DC-00126,Centersquare: Los Angeles (LA2-Irvine) Data Center,Centersquare,CA,33.6847703,-117.83669561457307,colocation_major,False,True,False,15.0,12.963835616438354,1.0,317519.99999999994,1.2731755,3.724,High
DC-00127,CyrusOne: AUS3 Austin Data Center,CyrusOne,TX,30.20695115,-97.70111931170716,colocation_major,False,True,False,24.0,16.902465753424657,1.0570739726027396,537027.4044493149,0.97105974,2.681,Medium-High
DC-00128,Equinix: CH4 Chicago Data Center,Equinix,IL,41.85375365,-87.6183797609595,colocation_major,False,True,False,8.2,8.263561643835615,1.0,173577.59999999998,0.53570706,0.75,Low
DC-00129,Flexential: Atlanta - Norcross Data Center,Flexential,GA,33.954730350000006,-84.1985251922619,colocation_major,False,True,False,2.21,13.381917808219177,1.0,46781.280000000006,1.1034696,1.889,Low-Medium
DC-00130,Netrality Data Centers: KC1 - 1102 Grand Kansas City Data Center,Netrality Data Centers,MO,39.1009164,-94.581241446861,colocation_secondary,False,False,True,26.0,10.326849315068491,1.0,550368.0,0.60720956,1.321,Low-Medium
